CellLine,Gene,RQ1,RQ2,RQ3,RQmin,RQmax,minus_error,plus_error
AS2_neu,GABRA5,2.98375093,1.506298413,4.445195215,1.117161802,7.940617928,1.861253051,4.962203075
AS2_neu,GABRG3,2.85926213,1.659015527,3.210866959,1.087549701,6.103391713,1.488831838,3.527010174
AS2_neu,PWAR5,2.359682174,1.888735337,2.101038437,0.911094643,4.916624332,1.205390673,2.800139016
AS2_neu,HERC2,1.214536909,0.653210023,1.13757211,0.438291782,2.289682837,0.563481232,1.287909823
AS2_neu,CYFIP1,0.639741164,0.438612466,0.423724726,0.225240712,1.113001568,0.275452074,0.612308782
AS2_neu,TUBGCP5,0.996541414,0.715128382,0.77336301,0.370801912,1.850460324,0.457542356,1.022116056
AS2_neu,CHRNA7,2.46157419,1.944041103,2.040640279,0.926840583,4.981584351,1.221911274,2.832832494
AS2_neu,NANOG,6.614774613,3.628368539,3.879767859,2.241542857,9.886871489,2.466094147,5.179234485
AS2_neu,SOX2,0.157466378,0.182083579,0.267057484,0.06446906,0.634193258,0.137733421,0.431990778
AS2_neu,OCT3/4,10.91535599,1.409147155,0.832814126,1.742182648,11.0407481,2.643589776,6.654975672
AS2_neu,FGF4,30.81578443,2.854309169,0.992118104,3.273687962,40.77864117,8.280382607,29.2245706
AS2_neu,KLF4,1.710033396,0.793986564,0.722927896,0.527195949,2.194670478,0.548453337,1.119021193
AS2_neu,LIN28A,1.3239357,0.353891142,0.51232489,0.369763791,1.441390038,0.360286786,0.711339461
AS2_neu,ZFP42,13.19878803,3.541599453,1.98477512,2.070819388,18.81336421,4.170901478,12.57164335
AS2_neu,PAX6,2.966248456,2.082931571,3.960634153,1.212551441,7.438561991,1.790719952,4.435290597
AS2_neu,MAP2,2.86474389,1.206521954,2.114516278,0.637799979,6.665952705,1.424127395,4.604025331
AS2_neu,DLG4,2.691679036,1.136577758,2.179310693,0.850586797,4.714505754,1.151935699,2.711983258
