CellLine,Gene,RQ1,RQ2,RQ3,RQmin,RQmax,minus_error,plus_error
AS2_neu,TUBGCP5,2.159197682,1.549462494,1.67563896,0.803413304,4.009376416,0.991353075,2.214610038
AS2_neu,CHRNA7,8.180930813,6.460932936,6.781975942,3.080312881,16.55607094,4.060967016,9.414791042
AS2_neu,NANOG,0.402353395,0.220700853,0.235992587,0.136345141,0.6013835,0.150003804,0.315034555
AS2_neu,SOX2,0.361550105,0.418072339,0.613176367,0.14802395,1.456137128,0.31624232,0.991870857
AS2_neu,OCT3/4,0.010874772,0.001403908,0.000829718,0.001735705,0.010999698,0.002633761,0.006630232
AS2_neu,FGF4,2.042721152,0.189206857,0.065765668,0.217006699,2.703140432,0.548891193,1.93724254
AS2_neu,KLF4,6.589846377,3.059735265,2.785901017,2.031621325,8.457461321,2.113539562,4.312300435
AS2_neu,LIN28A,0.006408671,0.001713053,0.002479971,0.001789886,0.006977223,0.001744012,0.003443325
AS2_neu,ZFP42,0.014581106,0.003912514,0.002192642,0.002287698,0.020783701,0.004607723,0.01388828
AS2_neu,PAX6,4154.704374,2917.4781,5547.500246,1698.371816,10418.89326,2508.189091,6212.332351
AS2_neu,MAP2,476.2831942,200.5924969,351.5527411,106.0385929,1108.260064,236.7708845,765.4505866
AS2_neu,DLG4,56.3807831,23.80712678,45.64854942,17.81666723,98.75156835,24.1288192,56.80608192
